"filename", "language", "JSON", "JavaScript React", "JavaScript", "SCSS", "HTML", "Markdown", "comment", "blank", "total"
"d:\Документы\Сайты\english-cards\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 3, 5
"d:\Документы\Сайты\english-cards\package-lock.json", "JSON", 37134, 0, 0, 0, 0, 0, 0, 1, 37135
"d:\Документы\Сайты\english-cards\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 1, 56
"d:\Документы\Сайты\english-cards\public\index.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 1, 33
"d:\Документы\Сайты\english-cards\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Документы\Сайты\english-cards\src\App.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 8, 78
"d:\Документы\Сайты\english-cards\src\allWords.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Документы\Сайты\english-cards\src\components\Category.jsx", "JavaScript React", 0, 85, 0, 0, 0, 0, 0, 2, 87
"d:\Документы\Сайты\english-cards\src\components\LearnCard.jsx", "JavaScript React", 0, 163, 0, 0, 0, 0, 4, 7, 174
"d:\Документы\Сайты\english-cards\src\components\LearningSection.jsx", "JavaScript React", 0, 167, 0, 0, 0, 0, 0, 4, 171
"d:\Документы\Сайты\english-cards\src\components\NewCard.jsx", "JavaScript React", 0, 141, 0, 0, 0, 0, 4, 8, 153
"d:\Документы\Сайты\english-cards\src\components\RepeatCard.jsx", "JavaScript React", 0, 179, 0, 0, 0, 0, 9, 5, 193
"d:\Документы\Сайты\english-cards\src\components\StatisticsSection.jsx", "JavaScript React", 0, 186, 0, 0, 0, 0, 1, 2, 189
"d:\Документы\Сайты\english-cards\src\constants.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\Документы\Сайты\english-cards\src\darkTheme.js", "JavaScript", 0, 0, 5432, 0, 0, 0, 4, 7, 5443
"d:\Документы\Сайты\english-cards\src\index.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 5, 32
"d:\Документы\Сайты\english-cards\src\index.scss", "SCSS", 0, 0, 0, 714, 0, 0, 0, 23, 737
"d:\Документы\Сайты\english-cards\src\layout\Footer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Документы\Сайты\english-cards\src\layout\Header.jsx", "JavaScript React", 0, 52, 0, 0, 0, 0, 0, 2, 54
"d:\Документы\Сайты\english-cards\src\layout\Preloader.jsx", "JavaScript React", 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Документы\Сайты\english-cards\src\pages\Categories.jsx", "JavaScript React", 0, 60, 0, 0, 0, 0, 0, 3, 63
"d:\Документы\Сайты\english-cards\src\pages\EndLearning.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 4, 46
"d:\Документы\Сайты\english-cards\src\pages\EndLearningCategories.jsx", "JavaScript React", 0, 28, 0, 0, 0, 0, 0, 2, 30
"d:\Документы\Сайты\english-cards\src\pages\EndRepeat.jsx", "JavaScript React", 0, 30, 0, 0, 0, 0, 0, 2, 32
"d:\Документы\Сайты\english-cards\src\pages\Glossary.jsx", "JavaScript React", 0, 129, 0, 0, 0, 0, 31, 2, 162
"d:\Документы\Сайты\english-cards\src\pages\Home.jsx", "JavaScript React", 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\Документы\Сайты\english-cards\src\pages\Learn.jsx", "JavaScript React", 0, 81, 0, 0, 0, 0, 0, 4, 85
"d:\Документы\Сайты\english-cards\src\pages\PageNotFound.jsx", "JavaScript React", 0, 22, 0, 0, 0, 0, 0, 3, 25
"d:\Документы\Сайты\english-cards\src\pages\Repeat.jsx", "JavaScript React", 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\Документы\Сайты\english-cards\src\pages\Settings.jsx", "JavaScript React", 0, 297, 0, 0, 0, 0, 2, 8, 307
"d:\Документы\Сайты\english-cards\src\pages\firstVisitPages\HelloPage1.jsx", "JavaScript React", 0, 28, 0, 0, 0, 0, 0, 2, 30
"d:\Документы\Сайты\english-cards\src\pages\firstVisitPages\HelloPage2.jsx", "JavaScript React", 0, 35, 0, 0, 0, 0, 0, 3, 38
"d:\Документы\Сайты\english-cards\src\pages\firstVisitPages\HelloPage3.jsx", "JavaScript React", 0, 87, 0, 0, 0, 0, 0, 4, 91
"d:\Документы\Сайты\english-cards\src\pages\firstVisitPages\HelloPage4.jsx", "JavaScript React", 0, 27, 0, 0, 0, 0, 1, 2, 30
"d:\Документы\Сайты\english-cards\src\pages\firstVisitPages\HelloPages.jsx", "JavaScript React", 0, 35, 0, 0, 0, 0, 0, 2, 37
"d:\Документы\Сайты\english-cards\src\redux\homeSlice.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 2, 23
"d:\Документы\Сайты\english-cards\src\redux\learningSlice.js", "JavaScript", 0, 0, 91, 0, 0, 0, 13, 6, 110
"d:\Документы\Сайты\english-cards\src\redux\statisticsSlice.js", "JavaScript", 0, 0, 42, 0, 0, 0, 6, 3, 51
"d:\Документы\Сайты\english-cards\src\utils.js", "JavaScript", 0, 0, 550, 0, 0, 0, 6, 28, 584
"Total", "-", 37214, 1934, 6243, 714, 32, 2, 81, 168, 46388
